Institute,Program,Quota,Seat,Gender,Note,Code,Opening Rank (int),Closing Rank (int)
"Shri Balwant Institute of Technology, Merrut Road (Pallri), Sonipat, NCR Delhi), Haryana Jain Minority Institute)",Mechanical Engineering,HS,OPEN,Gender-Neutral,,OPNOHS,396268,1427444
"Shri Balwant Institute of Technology, Merrut Road (Pallri), Sonipat, NCR Delhi), Haryana Jain Minority Institute)",Mechanical Engineering,OS,OPEN,Gender-Neutral,,OPNOOS,254114,254739
"institute Tribhuvan College, Plot No. 203 & 204, RIICO, New Industrial complex Majrakath, Neemran, Rajasthan - 301705 (Provisional Basis)",Course B.Tech (Al& DS),HS,OPEN,Gender-Neutral,,OPNOHS,1138263,1138263
"institute Tribhuvan College, Plot No. 203 & 204, RIICO, New Industrial complex Majrakath, Neemran, Rajasthan - 301705 (Provisional Basis)",Course B.Tech (Al& DS),OS,OPEN,Gender-Neutral,,OPNOOS,258488,265983
"Tribhuvan College, Plot No. 203 & 204, Neemran, Rajasthan - 301705 (Provisional Basis)",B.Tech (Al&ML),HS,OPEN,Gender-Neutral,,OPNOHS,1427356,1427356
"Tribhuvan College, Plot No. 203 & 204, Neemran, Rajasthan - 301705 (Provisional Basis)",B.Tech (Al&ML),OS,OPEN,Gender-Neutral,,OPNOOS,266811,266811
"Tribhuvan College, Plot No. 203 & 204, RICO, New Industrial complex Majrakath, Neemran, Rajasthan - 301705 (Provisional Basis)",Computer Science & Engineering,HS,OPEN,Gender-Neutral,,OPNOHS,408711,1158265
"Tribhuvan College, Plot No. 203 & 204, RICO, New Industrial complex Majrakath, Neemran, Rajasthan - 301705 (Provisional Basis)",Computer Science & Engineering,OS,OPEN,Gender-Neutral,,OPNOOS,254365,269242
"Trinity Institute of Innovations in Professional Studies, Plot no 2B/1, Knowledge Park - Ill, Greater Noida, Uttar Pradesh - 2011308",Computer Science & Engineering,HS,OPEN,Gender-Neutral,,OPNOHS,52002,948497
"Trinity Institute of Innovations in Professional Studies, Plot no 2B/1, Knowledge Park - Ill, Greater Noida, Uttar Pradesh - 2011308",Computer Science & Engineering,OS,OPEN,Gender-Neutral,,OPNOOS,188911,224014
