Round,Institute,Program,Quota,Seat,Gender,Note,Opening Rank (int),Closing Rank (int)
Round 1,"Kashi Institute Of Technology,Varanasi",Civil Engineering,HS,OPEN,Gender-Neutral,,1440463,1446105
Round 1,"School Of Management Science (Sms Institute Of Technology),Lucknow",Civil Engineering (FW),HS,OPEN,Gender-Neutral,TF,461348,461348
Round 1,"Madhu Vachaspati Institute Of Engineering & Technology,Kaushambi",Computer Science and Engineering,HS,OPEN,Gender-Neutral,,881814,1465270
Round 1,"G.C.R.G. Memorial Trust'S Group Of Institutions, Faculty Of Engineering,Lucknow",Civil Engineering,HS,OPEN,Gender-Neutral,,1360784,1360784
Round 1,"Ambalika Institute Of Management & Technology,Lucknow",Information Technology (FW),HS,OPEN,Gender-Neutral,TF,1050225,1050225
Round 1,"Institute Of Engineering & Technology,Lucknow",Civil Engineering,HS,OPEN,Gender-Neutral,AF,118273,118273
Round 1,"B.B.S.College Of Engginering And Technology,Allahabad",Computer Science And Engineering(Artificial Intelligence & Machine Learning),HS,OPEN,Female-only (including Supernumerary),,256266,1189848
Round 1,"Dr. K.N. Modi Institute Of Engg. & Technology,Ghaziabad",Electrical Engineering,HS,OPEN,Gender-Neutral,,983752,983752
Round 1,"Dr. Bhim Rao Ambedkar University, Agra",Computer Science and Engineering,HS,OPEN,Gender-Neutral,AF,818314,818314
Round 1,"Mangalmay Institute Of Engineering And Technology ,Gautam Buddha Nagar",Computer Science and Engineering (Artificial Intelligence),HS,OPEN,Gender-Neutral,,483352,813074
Round 1,"Hindustan College Of Science & Technology,Mathura",Electronics and Communication Engineering (FW),HS,OPEN,Gender-Neutral,TF,371820,371820
Round 1,"Abes Engg.College,Ghaziabad",Mechanical Engineering,HS,OBC-NCL,Gender-Neutral,,808918,1443310
Round 1,"I.M.S. Engineering College,Ghaziabad",Computer Science and Engineering,HS,SC,Female-only (including Supernumerary),,816752,1100759
Round 1,"Maharana Pratap Engineering College,Kanpur",Computer Science and Engineering (Artificial Intelligence),HS,OPEN,Female-only (including Supernumerary),,127051,1132894
Round 1,"Saroj Institute Of Tech. & Management,Lucknow",Civil Engineering,HS,OPEN,Female-only (including Supernumerary),,621755,621755
Round 1,"Vivekananda College Of Technology & Management,Aligarh",Information Technology,HS,OPEN,Female-only (including Supernumerary),,607903,1358345
Round 1,"Rajkiya Engineering College,Bijnor",Electrical Engineering,HS,SC,Female-only (including Supernumerary),,601014,1282407
Round 1,"Feroze Gandhi Institute Of Engg And Technology, Raibareilly",Computer Science and Engineering,HS,SC,Female-only (including Supernumerary),,641944,1360763
Round 1,"I.T.S. Engg.College,Gautam Buddh Nagar",Computer Science And Engineering(Artificial Intelligence & Machine Learning),HS,OBC-NCL,Female-only (including Supernumerary),,1117492,1117492
Round 1,"Shri Rammurti Smarak College Of Engg And Technology,Bareilly",Electronics and Communication Engineering,HS,OPEN,Gender-Neutral,,441682,632397
Round 1,"Raja Balwant Singh Engineering Technical Campus,Agra",Computer Science and Engineering,HS,OBC-NCL,Female-only (including Supernumerary),,1080933,1359319
Round 1,"Institute Of Engineering & Technology,Lucknow",Electronics and Communication Engineering,HS,EWS,Female-only (including Supernumerary),,60907,60907
Round 1,"Bundelkhand Institute Of Engineering & Technology,Jhansi",Artificial Intelligence And Machine Learning,HS,OBC-NCL (PwD),Gender-Neutral,,1239178,1239178
Round 1,"Meerut Institute Of Engineering & Technology,Meerut",Computer Science,HS,SC,Gender-Neutral,,1108328,1209425
Round 1,"Maharana Pratap Institue Of Technology, Gorakhpur",Artificial Intelligence And Machine Learning,HS,OPEN,Female-only (including Supernumerary),,411133,922439
Round 1,"Sanskar College Of Engineering & Technology,Ghaziabad",Computer Science And Engineering(Artificial Intelligence & Machine Learning),HS,OPEN,Gender-Neutral,,630392,1446050
Round 1,"Raja Balwant Singh Engineering Technical Campus,Agra",Computer Science and Engineering,HS,OBC-NCL,Gender-Neutral,,767351,1314493
Round 1,"Greater Noida Institute Of Technology,Gautam Buddh Nagar",Electronics and Communication Engineering,HS,OBC-NCL,Gender-Neutral,,1064648,1064648
Round 1,"Galgotia'S College Of Engg. & Technology,Gautam Buddh Nagar",Electronics and Communication (Advanced Communication Technology),HS,EWS,Female-only (including Supernumerary),,589359,589359
Round 1,"Greater Noida Institute Of Technology,Gautam Buddh Nagar",Information Technology,HS,EWS,Female-only (including Supernumerary),,945722,945722
Round 1,"Maharana Institute Of Professional Studies,Kanpur",Computer Science and Engineering,HS,OPEN,Gender-Neutral,,1045304,1045304
Round 1,"Institute Of Engineering & Technology,Lucknow",Electronics and Communication Engineering,HS,SC,Gender-Neutral,AF,400526,400526
Round 1,"Shivdan Singh Institute Of Technology & Management,Aligarh",Computer Science and Engineering (Artificial Intelligence),HS,OPEN,Gender-Neutral,,478408,961899
Round 1,"Institute Of Engineering & Technology,Lucknow",Electronics and Communication Engineering,HS,OPEN,Gender-Neutral,FF,275254,275254
Round 1,"Raj Kumar Goel Instt. Of Technology,Ghaziabad",Computer Science And Engineering(Data Science),HS,SC,Gender-Neutral,,1274496,1335849
Round 1,Ch. Charan Singh University Campus (Scriet) Meerut,Agriculture Engineering,HS,SC,Gender-Neutral,,896225,896225
Round 1,"Bundelkhand Institute Of Engineering & Technology,Jhansi",Electronics and Communication Engineering,HS,OBC-NCL,Gender-Neutral,FF,1044576,1044576
Round 1,"Indraprastha Institute Of Management & Technology,Saharanpur",Computer Science And Engineering(Artificial Intelligence & Machine Learning),HS,OPEN,Female-only (including Supernumerary),,777898,777898
Round 1,"Lucknow Institute Of Technology,Lucknow",Electronics and Communication Engineering,HS,EWS,Gender-Neutral,,562079,562079
Round 1,"Ajay Kumar Garg Engg. College,Ghaziabad",Computer Science (Hindi),HS,OBC-NCL,Gender-Neutral,AF,680499,680499
